




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6399963 Released 2022-03-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (42)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of cell motility (GO:2000146)	301	5	.61	+	8.14	3.77E-04	9.67E-03
embryonic organ morphogenesis (GO:0048562)	301	5	.61	+	8.14	3.77E-04	9.65E-03
negative regulation of growth (GO:0045926)	243	4	.50	+	8.07	1.57E-03	3.33E-02
protein polyubiquitination (GO:0000209)	244	4	.50	+	8.04	1.59E-03	3.36E-02
regulation of leukocyte differentiation (GO:1902105)	306	5	.62	+	8.01	4.06E-04	1.03E-02
regulation of multicellular organismal development (GO:2000026)	1356	22	2.77	+	7.95	1.67E-15	8.44E-13
positive regulation of cell differentiation (GO:0045597)	863	14	1.76	+	7.95	9.88E-10	1.11E-07
negative regulation of cellular component movement (GO:0051271)	309	5	.63	+	7.93	4.24E-04	1.07E-02
response to peptide (GO:1901652)	434	7	.89	+	7.91	2.75E-05	1.03E-03
regulation of DNA-binding transcription factor activity (GO:0051090)	434	7	.89	+	7.91	2.75E-05	1.03E-03
cell-cell signaling (GO:0007267)	1055	17	2.15	+	7.90	9.61E-12	1.96E-09
telencephalon development (GO:0021537)	250	4	.51	+	7.84	1.74E-03	3.63E-02
positive regulation of developmental process (GO:0051094)	1314	21	2.68	+	7.83	1.33E-14	5.22E-12
regulation of neuron death (GO:1901214)	314	5	.64	+	7.81	4.56E-04	1.14E-02
cellular response to organic cyclic compound (GO:0071407)	506	8	1.03	+	7.75	7.87E-06	3.45E-04
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	253	4	.52	+	7.75	1.82E-03	3.77E-02
negative regulation of multicellular organismal process (GO:0051241)	1020	16	2.08	+	7.69	7.07E-11	1.05E-08
positive regulation of transferase activity (GO:0051347)	580	9	1.18	+	7.61	2.28E-06	1.11E-04
regulation of protein serine/threonine kinase activity (GO:0071900)	387	6	.79	+	7.60	1.35E-04	4.05E-03
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	258	4	.53	+	7.60	1.95E-03	4.00E-02
negative regulation of transcription by RNA polymerase II (GO:0000122)	969	15	1.98	+	7.59	3.98E-10	5.11E-08
tissue development (GO:0009888)	1687	26	3.44	+	7.56	2.99E-18	4.68E-15
cellular response to growth factor stimulus (GO:0071363)	457	7	.93	+	7.51	3.80E-05	1.37E-03
regulation of cell differentiation (GO:0045595)	1568	24	3.20	+	7.50	1.53E-16	1.20E-13
protein maturation (GO:0051604)	262	4	.53	+	7.48	2.06E-03	4.16E-02
positive regulation of gene expression (GO:0010628)	1132	17	2.31	+	7.36	2.87E-11	4.90E-09
central nervous system development (GO:0007417)	1000	15	2.04	+	7.35	6.11E-10	7.20E-08
rhythmic process (GO:0048511)	267	4	.54	+	7.34	2.20E-03	4.41E-02
negative regulation of locomotion (GO:0040013)	336	5	.69	+	7.29	6.17E-04	1.46E-02
positive regulation of protein phosphorylation (GO:0001934)	742	11	1.51	+	7.27	2.17E-07	1.42E-05
generation of neurons (GO:0048699)	1081	16	2.21	+	7.26	1.65E-10	2.35E-08
response to lipid (GO:0033993)	813	12	1.66	+	7.24	5.65E-08	4.21E-06
neuron differentiation (GO:0030182)	1018	15	2.08	+	7.22	7.78E-10	8.90E-08
neurogenesis (GO:0022008)	1223	18	2.49	+	7.21	8.37E-12	1.75E-09
negative regulation of apoptotic process (GO:0043066)	887	13	1.81	+	7.18	1.50E-08	1.26E-06
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	342	5	.70	+	7.17	6.67E-04	1.57E-02
positive regulation of phosphorylation (GO:0042327)	823	12	1.68	+	7.15	6.44E-08	4.72E-06
chromatin remodeling (GO:0006338)	275	4	.56	+	7.13	2.45E-03	4.85E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	1251	18	2.55	+	7.05	1.21E-11	2.32E-09
response to growth factor (GO:0070848)	487	7	.99	+	7.05	5.65E-05	1.91E-03
negative regulation of programmed cell death (GO:0043069)	905	13	1.85	+	7.04	1.89E-08	1.58E-06
cell surface receptor signaling pathway (GO:0007166)	2106	30	4.30	+	6.98	7.48E-21	1.17E-16
regulation of small molecule metabolic process (GO:0062012)	351	5	.72	+	6.98	7.49E-04	1.73E-02
negative regulation of signal transduction (GO:0009968)	1265	18	2.58	+	6.98	1.46E-11	2.72E-09
cellular response to lipid (GO:0071396)	494	7	1.01	+	6.95	6.17E-05	2.04E-03
positive regulation of kinase activity (GO:0033674)	495	7	1.01	+	6.93	6.25E-05	2.06E-03
negative regulation of cell death (GO:0060548)	1006	14	2.05	+	6.82	6.88E-09	6.24E-07
positive regulation of protein modification process (GO:0031401)	1015	14	2.07	+	6.76	7.70E-09	6.89E-07
positive regulation of signal transduction (GO:0009967)	1529	21	3.12	+	6.73	2.51E-13	6.78E-11
negative regulation of transcription, DNA-templated (GO:0045892)	1313	18	2.68	+	6.72	2.68E-11	4.77E-09
negative regulation of nucleic acid-templated transcription (GO:1903507)	1315	18	2.68	+	6.71	2.75E-11	4.78E-09
negative regulation of RNA biosynthetic process (GO:1902679)	1317	18	2.69	+	6.70	2.81E-11	4.85E-09
response to wounding (GO:0009611)	441	6	.90	+	6.67	2.71E-04	7.45E-03
proteasomal protein catabolic process (GO:0010498)	369	5	.75	+	6.64	9.34E-04	2.09E-02
regulation of growth (GO:0040008)	666	9	1.36	+	6.62	6.90E-06	3.08E-04
positive regulation of proteolysis (GO:0045862)	370	5	.75	+	6.62	9.46E-04	2.12E-02
negative regulation of RNA metabolic process (GO:0051253)	1427	19	2.91	+	6.53	9.79E-12	1.97E-09
positive regulation of phosphorus metabolic process (GO:0010562)	904	12	1.84	+	6.51	1.76E-07	1.18E-05
positive regulation of phosphate metabolic process (GO:0045937)	904	12	1.84	+	6.51	1.76E-07	1.17E-05
growth (GO:0040007)	377	5	.77	+	6.50	1.03E-03	2.25E-02
developmental growth (GO:0048589)	377	5	.77	+	6.50	1.03E-03	2.24E-02
negative regulation of cell communication (GO:0010648)	1364	18	2.78	+	6.47	4.99E-11	7.74E-09
negative regulation of signaling (GO:0023057)	1370	18	2.79	+	6.44	5.36E-11	8.15E-09
cell morphogenesis involved in differentiation (GO:0000904)	535	7	1.09	+	6.41	1.01E-04	3.13E-03
positive regulation of nucleic acid-templated transcription (GO:1903508)	1696	22	3.46	+	6.36	1.57E-13	4.65E-11
positive regulation of transcription, DNA-templated (GO:0045893)	1696	22	3.46	+	6.36	1.57E-13	4.57E-11
response to organic cyclic compound (GO:0014070)	850	11	1.73	+	6.34	8.19E-07	4.67E-05
positive regulation of RNA biosynthetic process (GO:1902680)	1702	22	3.47	+	6.34	1.69E-13	4.81E-11
positive regulation of cell population proliferation (GO:0008284)	939	12	1.92	+	6.26	2.64E-07	1.67E-05
negative regulation of cell population proliferation (GO:0008285)	711	9	1.45	+	6.21	1.16E-05	4.88E-04
positive regulation of MAPK cascade (GO:0043410)	481	6	.98	+	6.11	4.28E-04	1.08E-02
histone modification (GO:0016570)	401	5	.82	+	6.11	1.35E-03	2.89E-02
positive regulation of cell communication (GO:0010647)	1693	21	3.45	+	6.08	1.77E-12	4.20E-10
regulation of cell cycle process (GO:0010564)	727	9	1.48	+	6.07	1.38E-05	5.63E-04
positive regulation of signaling (GO:0023056)	1698	21	3.46	+	6.06	1.87E-12	4.38E-10
anatomical structure morphogenesis (GO:0009653)	2185	27	4.46	+	6.06	1.12E-16	9.71E-14
cellular response to organonitrogen compound (GO:0071417)	568	7	1.16	+	6.04	1.46E-04	4.27E-03
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1551	19	3.16	+	6.01	4.10E-11	6.49E-09
regulation of developmental process (GO:0050793)	2463	30	5.02	+	5.97	6.34E-19	1.24E-15
positive regulation of RNA metabolic process (GO:0051254)	1828	22	3.73	+	5.90	7.09E-13	1.76E-10
regulation of cell migration (GO:0030334)	918	11	1.87	+	5.87	1.72E-06	8.66E-05
positive regulation of macromolecule biosynthetic process (GO:0010557)	1920	23	3.92	+	5.87	1.69E-13	4.74E-11
positive regulation of cellular protein metabolic process (GO:0032270)	1423	17	2.90	+	5.86	9.61E-10	1.08E-07
positive regulation of protein metabolic process (GO:0051247)	1510	18	3.08	+	5.84	2.59E-10	3.53E-08
chromatin organization (GO:0006325)	590	7	1.20	+	5.82	1.83E-04	5.28E-03
negative regulation of macromolecule biosynthetic process (GO:0010558)	1522	18	3.10	+	5.80	2.94E-10	3.94E-08
regulation of mitotic cell cycle (GO:0007346)	508	6	1.04	+	5.79	5.69E-04	1.37E-02
skeletal system development (GO:0001501)	509	6	1.04	+	5.78	5.75E-04	1.38E-02
negative regulation of response to stimulus (GO:0048585)	1622	19	3.31	+	5.74	8.81E-11	1.30E-08
response to organonitrogen compound (GO:0010243)	950	11	1.94	+	5.68	2.40E-06	1.17E-04
nervous system development (GO:0007399)	2081	24	4.25	+	5.65	8.14E-14	2.60E-11
cellular response to oxygen-containing compound (GO:1901701)	1043	12	2.13	+	5.64	7.98E-07	4.56E-05
positive regulation of cell migration (GO:0030335)	526	6	1.07	+	5.59	6.81E-04	1.59E-02
negative regulation of cellular biosynthetic process (GO:0031327)	1581	18	3.23	+	5.58	5.41E-10	6.58E-08
positive regulation of cellular biosynthetic process (GO:0031328)	2024	23	4.13	+	5.57	5.11E-13	1.29E-10
regulation of cellular response to stress (GO:0080135)	709	8	1.45	+	5.53	8.48E-05	2.66E-03
regulation of cell motility (GO:2000145)	976	11	1.99	+	5.52	3.10E-06	1.49E-04
negative regulation of gene expression (GO:0010629)	888	10	1.81	+	5.52	9.60E-06	4.17E-04
negative regulation of biosynthetic process (GO:0009890)	1610	18	3.28	+	5.48	7.24E-10	8.34E-08
response to oxygen-containing compound (GO:1901700)	1524	17	3.11	+	5.47	2.71E-09	2.65E-07
positive regulation of biosynthetic process (GO:0009891)	2062	23	4.21	+	5.47	7.54E-13	1.85E-10
cellular response to nitrogen compound (GO:1901699)	633	7	1.29	+	5.42	2.81E-04	7.69E-03
regulation of transferase activity (GO:0051338)	905	10	1.85	+	5.42	1.13E-05	4.79E-04
immune effector process (GO:0002252)	453	5	.92	+	5.41	2.28E-03	4.55E-02
positive regulation of cell motility (GO:2000147)	550	6	1.12	+	5.35	8.57E-04	1.94E-02
regulation of cell population proliferation (GO:0042127)	1663	18	3.39	+	5.31	1.21E-09	1.31E-07
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	2034	22	4.15	+	5.30	5.94E-12	1.29E-09
regulation of locomotion (GO:0040012)	1021	11	2.08	+	5.28	4.76E-06	2.21E-04
positive regulation of multicellular organismal process (GO:0051240)	1491	16	3.04	+	5.26	1.63E-08	1.37E-06
positive regulation of cellular component movement (GO:0051272)	564	6	1.15	+	5.22	9.75E-04	2.17E-02
regulation of protein kinase activity (GO:0045859)	659	7	1.34	+	5.21	3.57E-04	9.34E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	565	6	1.15	+	5.21	9.84E-04	2.19E-02
positive regulation of locomotion (GO:0040017)	566	6	1.15	+	5.20	9.93E-04	2.20E-02
response to nitrogen compound (GO:1901698)	1046	11	2.13	+	5.16	5.99E-06	2.73E-04
regulation of MAPK cascade (GO:0043408)	669	7	1.36	+	5.13	3.90E-04	9.98E-03
regulation of cellular component movement (GO:0051270)	1052	11	2.15	+	5.13	6.32E-06	2.85E-04
regulation of cell death (GO:0010941)	1631	17	3.33	+	5.11	7.47E-09	6.73E-07
modification-dependent protein catabolic process (GO:0019941)	576	6	1.17	+	5.11	1.09E-03	2.37E-02
animal organ development (GO:0048513)	3179	33	6.48	+	5.09	1.99E-19	1.04E-15
positive regulation of cell death (GO:0010942)	579	6	1.18	+	5.08	1.12E-03	2.42E-02
regulation of apoptotic process (GO:0042981)	1456	15	2.97	+	5.05	9.14E-08	6.54E-06
modification-dependent macromolecule catabolic process (GO:0043632)	587	6	1.20	+	5.01	1.20E-03	2.58E-02
cellular response to endogenous stimulus (GO:0071495)	1078	11	2.20	+	5.00	7.95E-06	3.47E-04
cell morphogenesis (GO:0000902)	686	7	1.40	+	5.00	4.53E-04	1.14E-02
cell death (GO:0008219)	984	10	2.01	+	4.98	2.32E-05	8.92E-04
regulation of programmed cell death (GO:0043067)	1484	15	3.03	+	4.95	1.17E-07	8.16E-06
regulation of signal transduction (GO:0009966)	2975	30	6.07	+	4.94	1.28E-16	1.05E-13
apoptotic process (GO:0006915)	903	9	1.84	+	4.89	7.41E-05	2.38E-03
developmental process involved in reproduction (GO:0003006)	1004	10	2.05	+	4.88	2.75E-05	1.03E-03
regulation of protein phosphorylation (GO:0001932)	1108	11	2.26	+	4.87	1.03E-05	4.42E-04
positive regulation of nitrogen compound metabolic process (GO:0051173)	3142	31	6.41	+	4.84	4.07E-17	3.99E-14
regulation of cell cycle (GO:0051726)	1122	11	2.29	+	4.81	1.16E-05	4.89E-04
protein catabolic process (GO:0030163)	718	7	1.46	+	4.78	5.93E-04	1.42E-02
regulation of anatomical structure morphogenesis (GO:0022603)	928	9	1.89	+	4.75	9.11E-05	2.85E-03
regulation of cell communication (GO:0010646)	3342	32	6.82	+	4.69	1.61E-17	1.80E-14
regulation of phosphorylation (GO:0042325)	1255	12	2.56	+	4.69	5.39E-06	2.49E-04
positive regulation of molecular function (GO:0044093)	1569	15	3.20	+	4.69	2.41E-07	1.55E-05
regulation of signaling (GO:0023051)	3355	32	6.84	+	4.68	1.81E-17	1.89E-14
regulation of proteolysis (GO:0030162)	737	7	1.50	+	4.66	6.92E-04	1.61E-02
positive regulation of response to stimulus (GO:0048584)	2213	21	4.51	+	4.65	2.73E-10	3.69E-08
programmed cell death (GO:0012501)	949	9	1.94	+	4.65	1.08E-04	3.33E-03
proteolysis involved in cellular protein catabolic process (GO:0051603)	633	6	1.29	+	4.65	1.75E-03	3.65E-02
regulation of cell projection organization (GO:0031344)	639	6	1.30	+	4.60	1.83E-03	3.80E-02
positive regulation of catalytic activity (GO:0043085)	1180	11	2.41	+	4.57	1.85E-05	7.33E-04
positive regulation of macromolecule metabolic process (GO:0010604)	3507	32	7.15	+	4.47	6.82E-17	6.28E-14
positive regulation of intracellular signal transduction (GO:1902533)	988	9	2.02	+	4.47	1.46E-04	4.28E-03
cellular protein catabolic process (GO:0044257)	661	6	1.35	+	4.45	2.17E-03	4.37E-02
regulation of cell adhesion (GO:0030155)	773	7	1.58	+	4.44	9.13E-04	2.05E-02
positive regulation of cellular metabolic process (GO:0031325)	3329	30	6.79	+	4.42	2.90E-15	1.33E-12
regulation of kinase activity (GO:0043549)	778	7	1.59	+	4.41	9.48E-04	2.12E-02
cell development (GO:0048468)	1668	15	3.40	+	4.41	5.27E-07	3.08E-05
regulation of protein modification process (GO:0031399)	1558	14	3.18	+	4.41	1.45E-06	7.38E-05
response to endogenous stimulus (GO:0009719)	1337	12	2.73	+	4.40	1.02E-05	4.40E-04
regulation of multicellular organismal process (GO:0051239)	2721	24	5.55	+	4.32	2.69E-11	4.73E-09
negative regulation of molecular function (GO:0044092)	1141	10	2.33	+	4.30	8.03E-05	2.56E-03
proteolysis (GO:0006508)	1277	11	2.60	+	4.22	3.82E-05	1.37E-03
system development (GO:0048731)	3719	32	7.59	+	4.22	3.92E-16	2.36E-13
regulation of phosphate metabolic process (GO:0019220)	1401	12	2.86	+	4.20	1.63E-05	6.55E-04
regulation of phosphorus metabolic process (GO:0051174)	1403	12	2.86	+	4.19	1.66E-05	6.62E-04
chromosome organization (GO:0051276)	942	8	1.92	+	4.16	5.74E-04	1.38E-02
cell differentiation (GO:0030154)	3418	29	6.97	+	4.16	6.97E-14	2.27E-11
cellular response to organic substance (GO:0071310)	2014	17	4.11	+	4.14	1.65E-07	1.11E-05
cellular developmental process (GO:0048869)	3440	29	7.02	+	4.13	8.25E-14	2.59E-11
regulation of transcription by RNA polymerase II (GO:0006357)	2619	22	5.34	+	4.12	8.20E-10	9.32E-08
positive regulation of metabolic process (GO:0009893)	3816	32	7.78	+	4.11	8.43E-16	4.72E-13
negative regulation of nitrogen compound metabolic process (GO:0051172)	2399	20	4.89	+	4.09	8.78E-09	7.78E-07
regulation of protein localization (GO:0032880)	847	7	1.73	+	4.05	1.54E-03	3.28E-02
response to abiotic stimulus (GO:0009628)	1106	9	2.26	+	3.99	3.37E-04	8.88E-03
multicellular organism development (GO:0007275)	4129	33	8.42	+	3.92	6.57E-16	3.82E-13
negative regulation of cellular metabolic process (GO:0031324)	2539	20	5.18	+	3.86	2.32E-08	1.87E-06
response to organic substance (GO:0010033)	2683	21	5.47	+	3.84	9.17E-09	7.98E-07
regulation of response to stimulus (GO:0048583)	4001	31	8.16	+	3.80	4.14E-14	1.51E-11
negative regulation of macromolecule metabolic process (GO:0010605)	2751	21	5.61	+	3.74	1.44E-08	1.22E-06
regulation of molecular function (GO:0065009)	3079	23	6.28	+	3.66	2.64E-09	2.60E-07
negative regulation of metabolic process (GO:0009892)	2968	22	6.05	+	3.63	8.78E-09	7.73E-07
reproductive process (GO:0022414)	1484	11	3.03	+	3.63	1.47E-04	4.29E-03
reproduction (GO:0000003)	1493	11	3.05	+	3.61	1.55E-04	4.50E-03
regulation of transcription, DNA-templated (GO:0006355)	3455	25	7.05	+	3.55	5.70E-10	6.88E-08
regulation of nucleic acid-templated transcription (GO:1903506)	3456	25	7.05	+	3.55	5.74E-10	6.87E-08
regulation of RNA biosynthetic process (GO:2001141)	3465	25	7.07	+	3.54	6.07E-10	7.21E-08
immune system process (GO:0002376)	2375	17	4.84	+	3.51	1.70E-06	8.64E-05
regulation of cellular protein metabolic process (GO:0032268)	2409	17	4.91	+	3.46	2.08E-06	1.03E-04
signal transduction (GO:0007165)	4820	34	9.83	+	3.46	5.91E-15	2.65E-12
regulation of protein metabolic process (GO:0051246)	2577	18	5.26	+	3.42	1.03E-06	5.66E-05
anatomical structure development (GO:0048856)	5029	35	10.26	+	3.41	1.65E-15	8.63E-13
regulation of RNA metabolic process (GO:0051252)	3753	26	7.66	+	3.40	4.88E-10	6.11E-08
cellular response to chemical stimulus (GO:0070887)	2599	18	5.30	+	3.40	1.16E-06	6.24E-05
regulation of localization (GO:0032879)	2762	19	5.63	+	3.37	5.45E-07	3.18E-05
regulation of cellular component organization (GO:0051128)	2345	16	4.78	+	3.34	7.37E-06	3.27E-04
regulation of macromolecule biosynthetic process (GO:0010556)	3932	26	8.02	+	3.24	1.39E-09	1.47E-07
signaling (GO:0023052)	5163	34	10.53	+	3.23	5.13E-14	1.71E-11
regulation of response to stress (GO:0080134)	1374	9	2.80	+	3.21	1.58E-03	3.35E-02
cell communication (GO:0007154)	5266	34	10.74	+	3.17	9.52E-14	2.92E-11
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4059	26	8.28	+	3.14	2.81E-09	2.74E-07
regulation of cellular biosynthetic process (GO:0031326)	4095	26	8.35	+	3.11	3.42E-09	3.29E-07
developmental process (GO:0032502)	5561	35	11.34	+	3.09	4.36E-14	1.52E-11
positive regulation of cellular process (GO:0048522)	5740	36	11.71	+	3.07	9.07E-15	3.74E-12
regulation of biosynthetic process (GO:0009889)	4155	26	8.48	+	3.07	4.72E-09	4.40E-07
immune response (GO:0006955)	1606	10	3.28	+	3.05	1.22E-03	2.63E-02
negative regulation of cellular process (GO:0048523)	4867	29	9.93	+	2.92	6.35E-10	7.43E-08
positive regulation of biological process (GO:0048518)	6255	37	12.76	+	2.90	1.13E-14	4.56E-12
regulation of intracellular signal transduction (GO:1902531)	1704	10	3.48	+	2.88	1.90E-03	3.94E-02
regulation of nitrogen compound metabolic process (GO:0051171)	5689	33	11.61	+	2.84	1.05E-11	2.04E-09
regulation of gene expression (GO:0010468)	4833	28	9.86	+	2.84	3.64E-09	3.48E-07
regulation of transport (GO:0051049)	1742	10	3.55	+	2.81	2.24E-03	4.48E-02
cellular response to stimulus (GO:0051716)	6479	37	13.22	+	2.80	3.85E-14	1.44E-11
response to chemical (GO:0042221)	4035	23	8.23	+	2.79	4.76E-07	2.81E-05
regulation of primary metabolic process (GO:0080090)	5847	33	11.93	+	2.77	2.36E-11	4.26E-09
regulation of catalytic activity (GO:0050790)	2364	13	4.82	+	2.70	6.16E-04	1.46E-02
negative regulation of biological process (GO:0048519)	5288	29	10.79	+	2.69	5.00E-09	4.59E-07
multicellular organismal process (GO:0032501)	6472	35	13.20	+	2.65	5.71E-12	1.26E-09
regulation of macromolecule metabolic process (GO:0060255)	6190	33	12.63	+	2.61	1.26E-10	1.83E-08
regulation of cellular metabolic process (GO:0031323)	6040	32	12.32	+	2.60	4.95E-10	6.15E-08
regulation of metabolic process (GO:0019222)	6720	33	13.71	+	2.41	1.36E-09	1.47E-07
response to stimulus (GO:0050896)	8096	39	16.52	+	2.36	4.41E-13	1.13E-10
protein metabolic process (GO:0019538)	3953	19	8.06	+	2.36	1.11E-04	3.42E-03
cellular protein metabolic process (GO:0044267)	3349	16	6.83	+	2.34	5.64E-04	1.37E-02
regulation of biological quality (GO:0065008)	3730	17	7.61	+	2.23	8.25E-04	1.87E-02
cellular macromolecule metabolic process (GO:0044260)	4236	19	8.64	+	2.20	3.47E-04	9.12E-03
macromolecule metabolic process (GO:0043170)	5847	22	11.93	+	1.84	1.60E-03	3.36E-02
regulation of cellular process (GO:0050794)	11275	41	23.00	+	1.78	4.49E-10	5.67E-08
regulation of biological process (GO:0050789)	11735	41	23.94	+	1.71	3.29E-09	3.18E-07
biological regulation (GO:0065007)	12469	41	25.44	+	1.61	2.67E-08	2.10E-06
cellular process (GO:0009987)	15176	41	30.96	+	1.32	6.61E-05	2.14E-03
